Employee Identifier,Salaries,Other Salaries,Total Salary,Retirement,Health and Dental,Other Benefits,Total Benefits,Total Compensation
37730,57534.65,0,57534.65,11253.16,11961.34,4532.63,27747.13,85281.78
26574,57678.5,0,57678.5,10284.88,7176.8,4755.14,22216.82,79895.32
8148,63532.93,0,63532.93,12495.83,12918.24,4702.71,30116.78,93649.71
27436,101274.51,-7058.59,94215.92,19644.45,12918.24,7458.76,40021.45,134237.37
37730,5084,0,5084,1083.9,956.91,387.5,2428.31,7512.31
36223,34456,0,34456,7346,3827.63,2579.95,13753.58,48209.58
51426,139889,0,139889,26799.23,12918.24,9791.54,49509.01,189398.01
26574,46572,0,46572,9929.16,5741.44,3822.28,19492.88,66064.88
37983,84681.53,0,84681.53,16661.84,12918.24,6838.44,36418.52,121100.05
16858,10611.01,0,10611.01,1879.2,1435.36,827.09,4141.65,14752.66
32693,43171.5,0,43171.5,9061.62,6698.35,3502.18,19262.15,62433.65
43501,3155.01,0,3155.01,574.53,0,218.78,793.31,3948.32
16858,10611,0,10611,1879.2,1435.36,804.35,4118.91,14729.91
21653,38491.83,0,38491.83,8161.75,6028.51,3094.21,17284.47,55776.3
34205,54645.5,0,54645.5,10473.72,8612.16,4389.44,23475.32,78120.82
35965,91826.22,0,91826.22,18072.56,12918.24,7811.62,38802.42,130628.64
39039,77486.52,0,77486.52,14861.12,10047.52,6402.01,31310.65,108797.17
45754,40380.11,0,40380.11,7872.99,5262.99,3227.2,16363.18,56743.29
46770,88016.5,0,88016.5,17332,12918.24,6760.28,37010.52,125027.02
48264,91540.61,0,91540.61,18011.68,12918.24,7268.43,38198.35,129738.96
33068,101787.06,0,101787.06,20042.02,12918.24,7988.47,40948.73,142735.79
45754,3503,0,3503,637.9,478.45,299.49,1415.84,4918.84
5021,104022.86,0,104022.86,20458.35,12918.24,7878.74,41255.33,145278.19
20957,104250.5,0,104250.5,20214.04,12918.24,8498.47,41630.75,145881.25
17388,133022.51,0,133022.51,25483.48,12918.24,9759.01,48160.73,181183.24
19930,67071.6,2077.06,69148.66,12973.88,10744.27,5439.34,29157.49,98306.15
1815,145343.93,0,145343.93,27869.24,12918.24,12335.56,53123.04,198466.97
3034,123825.66,0,123825.66,23728.23,12918.24,9480.88,46127.35,169953.01
43208,155934.26,0,155934.26,29873.14,0,18500.13,48373.27,204307.53
14308,122302.25,0,122302.25,21538.39,12918.24,10318.94,44775.57,167077.82
15189,122302.27,0,122302.27,21538.37,12918.24,10890.91,45347.52,167649.79
17353,122302.26,0,122302.26,21538.37,12918.24,10493.35,44949.96,167252.22
30068,122302.24,0,122302.24,21538.36,12918.24,10811.11,45267.71,167569.95
43952,209697.02,0,209697.02,36944.94,12918.24,12228.03,62091.21,271788.23
5635,69257.89,0,69257.89,0,6653.49,5361.94,12015.43,81273.32
41629,162953.5,0,162953.5,31217.66,12918.24,2608.57,46744.47,209697.97
10922,93300.65,0,93300.65,16454.93,12537.33,1585.09,30577.35,123878
10988,66139.71,0,66139.71,11647.69,12918.24,1099.15,25665.08,91804.79
11294,96595.64,0,96595.64,17020.61,12918.25,1600.19,31539.05,128134.69
12948,76487.01,0,76487.01,13469.78,12918.25,1300.28,27688.31,104175.32
12968,92562.17,0,92562.17,16322.99,12437.88,1467.33,30228.2,122790.37
1307,96152.53,0,96152.53,16940.51,12918.24,1633.57,31492.32,127644.85
13679,5985.32,0,5985.32,0,799.91,463.38,1263.29,7248.61
14004,96152.51,0,96152.51,16940.51,12918.24,1631.07,31489.82,127642.33
14500,80200.02,6717.8,86917.82,14056.28,10765.2,1461.11,26282.59,113200.41
14573,96152.52,0,96152.52,16940.51,12918.24,1633.57,31492.32,127644.84
15267,76266.22,0,76266.22,13432.05,12918.24,1246.26,27596.55,103862.77
1556,96329.75,0,96329.75,16972.55,12918.24,1584.15,31474.94,127804.69
15592,96061.33,0,96061.33,16926.67,12906.29,1632.02,31464.98,127526.31
1563,90576.6,0,90576.6,15953.4,12918.24,1538.78,30410.42,120987.02
15876,82212.71,0,82212.71,14480.22,12918.24,1396.59,28795.05,111007.76
17248,86962.1,0,86962.1,15278.85,11677.86,1424.91,28381.62,115343.72
1754,66139.71,0,66139.71,11647.69,12918.24,1100.86,25666.79,91806.5
18905,66139.73,0,66139.73,11647.71,12918.31,1048.44,25614.46,91754.19
19512,52834.5,15691.14,68525.64,9538.33,7128.95,1125.12,17792.4,86318.04
20603,96152.54,0,96152.54,16940.51,12918.25,1616.45,31475.21,127627.75
21729,96152.51,0,96152.51,16940.51,12918.24,1633.57,31492.32,127644.83
21991,76487,0,76487,13469.77,12918.24,1280.79,27668.8,104155.8
22421,71064.6,0,71064.6,12516.89,12918.25,1182.92,26618.06,97682.66
23072,96152.5,0,96152.5,16940.51,12918.24,1633.57,31492.32,127644.82
23404,71064.61,0,71064.61,12516.89,12918.24,1207.08,26642.21,97706.82
25784,96152.53,0,96152.53,16940.51,12918.25,232.52,30091.28,126243.81
25825,96152.51,0,96152.51,16940.51,12918.24,1633.57,31492.32,127644.83
29835,96242.01,100,96342.01,16973.38,12918.24,237.99,30129.61,126471.62
32375,96152.5,0,96152.5,16940.51,12918.24,1633.57,31492.32,127644.82
32918,72020.52,0,72020.52,12687.75,12918.24,1199.86,26805.85,98826.37
33094,51760.51,4099.55,55860.06,9354.81,6985.42,938.27,17278.5,73138.56
33614,71543.51,300,71843.51,12655.55,0,1221.34,13876.89,85720.4
33629,71986.9,0,71986.9,12604.43,9661.11,1222.49,23488.03,95474.93
36193,96526.65,0,96526.65,17006.2,12918.24,1692.9,31617.34,128143.99
38724,96152.51,0,96152.51,16940.51,12918.24,1633.57,31492.32,127644.83
39810,96242,0,96242,16955.79,12918.24,1635.09,31509.12,127751.12
4017,84172.82,0,84172.82,14825.02,12918.25,1427.88,29171.15,113343.97
40308,96242,0,96242,16955.8,12918.24,1622.3,31496.34,127738.34
40383,96152.53,0,96152.53,16940.51,12918.25,1525.31,31384.07,127536.6
42999,96152.5,0,96152.5,16940.51,12918.24,240.01,30098.76,126251.26
43132,96241.16,0,96241.16,16956.53,12918.24,1526.82,31401.59,127642.75
43337,96152.5,0,96152.5,16940.51,12918.24,1633.57,31492.32,127644.82
43625,95509.16,0,95509.16,16829.13,12832.06,1622.63,31283.82,126792.98
43878,86221.21,0,86221.21,15186.48,12918.24,1135.05,29239.77,115460.98
4398,96152.5,0,96152.5,16940.51,12918.24,1632.09,31490.84,127643.34
46629,35267,0,35267,0,4736.69,2730.36,7467.05,42734.05
46637,86221.22,0,86221.22,15186.49,12918.24,1435.42,29540.15,115761.37
46714,78183.64,0,78183.64,13769.94,12918.24,1316.83,28005.01,106188.65
47110,79526.57,0,79526.57,14009.91,12918.24,1350.93,28279.08,107805.65
47541,64888.2,0,64888.2,11528.79,10047.52,1102.28,22678.59,87566.79
47802,96152.51,0,96152.51,16940.51,12918.24,224.31,30083.06,126235.57
48056,95663.21,0,95663.21,16853.91,12852.46,1625.26,31331.63,126994.84
48373,96152.56,0,96152.56,16940.51,12918.24,1633.57,31492.32,127644.88
48620,76487.01,0,76487.01,13469.77,12918.24,1246.83,27634.84,104121.85
